col_2,col_3,col_4,col_6,col_7,col_8,col_9,col_10,binaryClass
0,0.0,0,0,1.0,0.0,0.0,0.0,P
0,0.0,0,1,2.0,0.0,0.0,0.0,N
0,0.0,0,1,3.0,0.0,0.0,0.0,N
0,0.0,0,0,4.0,9.0,59.0,12.0,P
0,0.0,0,0,5.0,10.0,228.0,28.0,P
4,26.0,5,1,6.0,13.0,260.0,35.0,N
10,42.0,11,1,7.0,9.0,255.0,22.0,N
9,143.0,17,0,8.0,10.0,538.0,35.0,P
13,244.0,33,0,9.0,10.0,228.0,27.0,P
9,137.0,25,1,10.0,10.0,485.0,34.0,N
11,175.0,37,1,11.0,10.0,426.0,27.0,N
10,181.0,27,0,12.0,11.0,693.0,33.0,P
8,105.0,21,0,13.0,14.0,541.0,33.0,P
9,190.0,34,1,14.0,10.0,509.0,30.0,N
9,203.0,32,1,15.0,7.0,462.0,28.0,N
7,202.0,21,0,16.0,10.0,813.0,36.0,P
7,202.0,17,0,17.0,11.0,873.0,33.0,P
8,162.0,21,1,18.0,13.0,756.0,36.0,N
6,121.0,12,1,19.0,10.0,720.0,34.0,N
4,121.0,11,0,20.0,9.0,497.0,28.0,P
10,272.0,33,0,21.0,7.0,644.0,20.0,P
7,248.0,25,1,22.0,5.0,371.0,16.0,N
5,100.0,11,1,23.0,7.0,513.0,22.0,N
7,230.0,28,0,24.0,10.0,470.0,21.0,P
7,208.0,16,0,25.0,12.0,688.0,39.0,P
8,198.0,17,1,26.0,10.0,737.0,33.0,N
12,204.0,25,1,27.0,11.0,805.0,34.0,N
8,222.0,22,0,28.0,8.0,450.0,12.0,P
12,303.0,28,0,29.0,13.0,772.0,42.0,P
10,379.0,30,1,30.0,15.0,954.0,55.0,N
13,371.0,32,1,31.0,14.0,702.0,34.0,N
6,155.0,14,0,32.0,14.0,613.0,32.0,P
11,259.0,25,0,33.0,14.0,825.0,47.0,P
11,384.0,30,1,34.0,11.0,537.0,30.0,N
17,465.0,42,1,35.0,11.0,600.0,36.0,N
11,383.0,40,0,36.0,11.0,491.0,36.0,P
16,482.0,49,0,37.0,14.0,888.0,58.0,P
10,157.0,21,1,38.0,14.0,605.0,47.0,N
15,293.0,33,1,39.0,11.0,497.0,35.0,N
8,211.0,22,0,40.0,15.0,419.0,34.0,P
14,215.0,23,0,41.0,13.0,494.0,42.0,P
6,93.0,11,1,42.0,14.0,524.0,47.0,N
13,251.0,25,1,43.0,11.0,430.0,35.0,N
16,286.0,30,0,44.0,13.0,444.0,30.0,P
13,258.0,28,0,45.0,15.0,659.0,47.0,P
13,262.0,33,1,46.0,12.0,442.0,36.0,N
13,192.0,27,1,47.0,13.0,411.0,30.0,N
11,298.0,20,0,48.0,18.0,590.0,42.0,P
11,176.0,17,0,49.0,18.0,515.0,47.0,P
8,95.0,11,1,50.0,17.0,440.0,51.0,N
7,105.0,10,1,51.0,13.0,533.0,44.0,N
6,86.0,11,0,52.0,13.0,445.0,41.0,P
8,177.0,12,0,53.0,15.0,404.0,40.0,P
9,184.0,17,1,54.0,17.0,362.0,37.0,N
6,145.0,9,1,55.0,11.0,506.0,34.0,N
5,129.0,9,0,56.0,14.0,353.0,36.0,P
6,81.0,7,0,57.0,12.0,492.0,37.0,P
11,167.0,14,1,58.0,11.0,344.0,33.0,N
8,148.0,9,1,59.0,12.0,477.0,41.0,N
8,128.0,9,0,60.0,10.0,411.0,32.0,P
12,241.0,17,0,61.0,8.0,351.0,11.0,P
5,51.0,5,1,62.0,12.0,409.0,23.0,N
8,163.0,11,1,63.0,14.0,463.0,37.0,N
5,119.0,7,0,64.0,12.0,377.0,27.0,P
6,125.0,9,0,65.0,13.0,443.0,30.0,P
11,253.0,21,1,66.0,11.0,344.0,28.0,N
11,123.0,14,1,67.0,11.0,423.0,22.0,N
8,102.0,11,0,68.0,8.0,200.0,20.0,P
4,39.0,4,0,69.0,8.0,299.0,17.0,P
9,111.0,11,1,70.0,8.0,204.0,17.0,N
6,102.0,7,1,71.0,10.0,326.0,22.0,N
6,129.0,9,0,72.0,10.0,292.0,17.0,P
12,196.0,15,0,73.0,11.0,277.0,25.0,P
8,128.0,11,1,74.0,11.0,380.0,17.0,N
14,198.0,22,1,75.0,11.0,228.0,25.0,N
9,95.0,11,0,76.0,11.0,226.0,23.0,P
13,166.0,17,0,77.0,9.0,332.0,16.0,P
10,61.0,10,1,78.0,10.0,228.0,22.0,N
12,133.0,12,1,79.0,11.0,172.0,22.0,N
7,144.0,15,0,80.0,7.0,284.0,14.0,P
12,167.0,17,0,81.0,8.0,228.0,17.0,P
7,100.0,10,1,82.0,11.0,180.0,15.0,N
6,97.0,10,1,83.0,8.0,225.0,16.0,N
12,154.0,17,0,84.0,12.0,216.0,19.0,P
8,126.0,12,0,85.0,9.0,176.0,14.0,P
17,207.0,23,1,86.0,13.0,252.0,22.0,N
10,154.0,15,1,87.0,9.0,126.0,11.0,N
14,199.0,21,0,88.0,13.0,528.0,27.0,P
12,187.0,16,0,89.0,10.0,714.0,16.0,P
10,136.0,14,1,90.0,11.0,435.0,28.0,N
8,150.0,10,1,91.0,8.0,193.0,22.0,N
10,132.0,12,0,92.0,15.0,565.0,36.0,P
7,138.0,9,0,93.0,12.0,386.0,30.0,P
10,128.0,11,1,94.0,18.0,694.0,42.0,N
6,125.0,8,1,95.0,15.0,579.0,40.0,N
8,151.0,12,0,96.0,12.0,464.0,37.0,P
10,144.0,16,0,97.0,4.0,166.0,16.0,P
9,220.0,14,1,98.0,10.0,308.0,30.0,N
10,172.0,14,1,99.0,14.0,445.0,32.0,N
9,167.0,11,0,100.0,12.0,432.0,34.0,P
11,165.0,14,0,101.0,10.0,345.0,32.0,P
8,114.0,8,1,102.0,9.0,253.0,21.0,N
12,158.0,14,1,103.0,8.0,229.0,28.0,N
7,73.0,7,0,104.0,9.0,196.0,21.0,P
11,144.0,12,0,105.0,9.0,285.0,28.0,P
6,32.0,5,1,106.0,7.0,225.0,25.0,N
10,130.0,11,1,107.0,14.0,340.0,25.0,N
7,161.0,16,0,108.0,10.0,349.0,30.0,P
7,169.0,11,0,109.0,12.0,339.0,28.0,P
8,142.0,15,1,110.0,12.0,473.0,36.0,N
11,137.0,17,1,111.0,10.0,338.0,30.0,N
8,139.0,12,0,112.0,10.0,433.0,42.0,P
10,149.0,17,0,113.0,14.0,323.0,40.0,P
7,135.0,10,1,114.0,11.0,156.0,22.0,N
9,160.0,15,1,115.0,8.0,80.0,11.0,N
9,290.0,17,0,116.0,12.0,441.0,41.0,P
9,135.0,11,0,117.0,15.0,462.0,36.0,P
15,173.0,17,1,118.0,13.0,453.0,30.0,N
6,100.0,8,1,119.0,11.0,200.0,22.0,N
11,137.0,15,0,120.0,14.0,449.0,37.0,P
8,120.0,11,0,121.0,15.0,600.0,33.0,P
7,100.0,11,1,122.0,15.0,750.0,27.0,N
10,140.0,12,1,123.0,13.0,320.0,34.0,N
5,132.0,10,0,124.0,12.0,429.0,28.0,P
10,178.0,16,0,125.0,13.0,513.0,25.0,P
9,139.0,15,1,126.0,11.0,191.0,30.0,N
10,142.0,14,1,127.0,8.0,257.0,22.0,N
8,107.0,10,0,128.0,10.0,275.0,22.0,P
6,72.0,5,0,129.0,8.0,244.0,20.0,P
6,55.0,7,1,130.0,9.0,359.0,14.0,N
12,258.0,23,1,131.0,8.0,231.0,17.0,N
5,49.0,5,0,132.0,7.0,232.0,11.0,P
4,164.0,15,0,133.0,10.0,230.0,21.0,P
3,42.0,4,1,134.0,4.0,104.0,10.0,N
6,70.0,5,1,135.0,12.0,228.0,23.0,N
5,57.0,7,0,136.0,12.0,299.0,28.0,P
4,45.0,4,0,137.0,24.0,504.0,60.0,P
6,72.0,10,1,138.0,6.0,174.0,16.0,N
2,19.0,2,1,139.0,15.0,438.0,45.0,N
1,8.0,1,0,140.0,14.0,372.0,34.0,P
3,47.0,2,0,141.0,12.0,223.0,23.0,P
4,78.0,10,1,142.0,8.0,267.0,20.0,N
4,75.0,2,1,143.0,18.0,648.0,66.0,N
7,148.0,17,0,144.0,15.0,444.0,39.0,P
7,126.0,11,0,145.0,12.0,146.0,17.0,P
3,43.0,2,1,146.0,9.0,360.0,23.0,N
8,133.0,17,1,147.0,9.0,253.0,22.0,N
6,84.0,10,0,148.0,15.0,446.0,53.0,P
2,10.0,2,0,149.0,12.0,274.0,30.0,P
9,117.0,17,1,150.0,12.0,169.0,22.0,N
4,41.0,8,1,151.0,9.0,229.0,22.0,N
10,23.0,5,0,152.0,10.0,239.0,25.0,P
7,4.0,1,0,153.0,12.0,244.0,39.0,P
13,127.0,22,1,154.0,9.0,104.0,22.0,N
10,134.0,14,1,155.0,11.0,191.0,25.0,N
6,94.0,14,0,156.0,8.0,98.0,19.0,P
7,113.0,12,0,157.0,10.0,132.0,22.0,P
7,132.0,11,1,158.0,6.0,92.0,15.0,N
6,120.0,5,1,159.0,8.0,72.0,20.0,N
10,114.0,14,0,160.0,8.0,98.0,23.0,P
8,94.0,9,0,161.0,7.0,132.0,15.0,P
12,96.0,16,1,162.0,9.0,198.0,33.0,N
10,68.0,11,1,163.0,6.0,68.0,10.0,N
8,40.0,8,0,164.0,12.0,167.0,28.0,P
6,126.0,11,0,165.0,9.0,127.0,20.0,P
5,95.0,11,1,166.0,14.0,135.0,23.0,N
14,124.0,28,1,167.0,12.0,186.0,30.0,N
4,60.0,9,0,168.0,7.0,218.0,22.0,P
13,107.0,22,0,169.0,12.0,189.0,23.0,P
3,24.0,5,1,170.0,10.0,205.0,28.0,N
12,90.0,17,1,171.0,12.0,192.0,17.0,N
9,169.0,22,0,172.0,11.0,199.0,30.0,P
18,129.0,33,0,173.0,12.0,171.0,20.0,P
10,62.0,20,1,174.0,12.0,192.0,33.0,N
15,107.0,22,1,175.0,12.0,150.0,21.0,N
10,62.0,19,0,176.0,8.0,175.0,25.0,P
12,84.0,11,0,177.0,10.0,156.0,22.0,P
10,61.0,17,1,178.0,11.0,137.0,17.0,N
10,86.0,17,1,179.0,14.0,157.0,19.0,N
12,179.0,22,0,180.0,9.0,93.0,16.0,P
10,61.0,16,0,181.0,13.0,197.0,19.0,P
6,72.0,16,1,182.0,6.0,48.0,14.0,N
11,113.0,25,1,183.0,11.0,236.0,19.0,N
6,91.0,14,0,184.0,12.0,160.0,17.0,P
11,227.0,36,0,185.0,18.0,196.0,51.0,P
7,44.0,11,1,186.0,9.0,69.0,11.0,N
6,80.0,15,1,187.0,8.0,222.0,20.0,N
6,65.0,14,0,188.0,12.0,308.0,25.0,P
6,49.0,11,0,189.0,15.0,244.0,39.0,P
3,110.0,16,1,190.0,11.0,98.0,15.0,N
2,46.0,7,1,191.0,9.0,153.0,16.0,N
12,78.0,11,0,192.0,12.0,456.0,33.0,P
6,54.0,17,0,193.0,12.0,291.0,25.0,P
13,149.0,23,1,194.0,12.0,126.0,17.0,N
10,108.0,22,1,195.0,9.0,84.0,11.0,N
12,252.0,44,0,196.0,14.0,172.0,22.0,P
9,167.0,28,0,197.0,14.0,170.0,25.0,P
6,81.0,11,1,198.0,15.0,218.0,25.0,N
4,53.0,7,1,199.0,18.0,255.0,39.0,N
12,102.0,17,0,200.0,11.0,144.0,25.0,P
6,6.0,5,0,201.0,12.0,247.0,27.0,P
10,109.0,22,1,202.0,15.0,271.0,35.0,N
7,69.0,8,1,203.0,8.0,118.0,23.0,N
9,213.0,23,0,204.0,9.0,275.0,28.0,P
12,168.0,36,0,205.0,12.0,286.0,30.0,P
9,93.0,17,1,206.0,4.0,104.0,14.0,N
10,110.0,17,1,207.0,8.0,168.0,20.0,N
13,81.0,21,0,208.0,11.0,275.0,32.0,P
11,121.0,22,0,209.0,16.0,354.0,51.0,P
16,68.0,22,1,210.0,6.0,96.0,17.0,N
12,131.0,28,1,211.0,8.0,176.0,22.0,N
10,96.0,15,0,212.0,6.0,74.0,14.0,P
12,339.0,47,0,213.0,8.0,187.0,21.0,P
5,59.0,8,1,214.0,6.0,51.0,11.0,N
12,114.0,14,1,215.0,7.0,197.0,20.0,N
10,127.0,22,0,216.0,7.0,85.0,19.0,P
15,155.0,20,0,217.0,10.0,243.0,36.0,P
15,195.0,37,1,218.0,8.0,119.0,27.0,N
17,185.0,25,1,219.0,12.0,288.0,54.0,N
6,23.0,5,0,220.0,10.0,495.0,20.0,P
7,60.0,11,0,221.0,7.0,151.0,28.0,P
11,126.0,20,1,222.0,12.0,870.0,11.0,N
8,102.0,14,1,223.0,2.0,14.0,2.0,N
11,165.0,16,0,,,,,N
11,189.0,23,0,,,,,N
11,182.0,20,1,,,,,N
15,270.0,21,1,,,,,N
10,252.0,28,0,,,,,N
