V1,V2,V3,V4,V5,V6,V7,V8,y2,y1
0.98,514.5,294,110.25,7,3,0.25,3,20,19
0.98,514.5,294,110.25,7,4,0.25,3,20,18
0.98,514.5,294,110.25,7,5,0.25,3,20,19
0.9,563.5,318.5,122.5,7,2,0.25,3,26,22
0.9,563.5,318.5,122.5,7,3,0.25,3,25,22
0.9,563.5,318.5,122.5,7,4,0.25,3,23,23
0.9,563.5,318.5,122.5,7,5,0.25,3,22,22
0.86,588,294,147,7,2,0.25,3,24,18
0.86,588,294,147,7,3,0.25,3,23,19
0.86,588,294,147,7,4,0.25,3,18,19
0.86,588,294,147,7,5,0.25,3,20,19
0.82,612.5,318.5,147,7,2,0.25,3,19,15
0.82,612.5,318.5,147,7,3,0.25,3,18,15
0.82,612.5,318.5,147,7,4,0.25,3,17,15
0.82,612.5,318.5,147,7,5,0.25,3,16,15
0.79,637,343,147,7,2,0.25,3,35,29
0.79,637,343,147,7,3,0.25,3,34,28
0.79,637,343,147,7,4,0.25,3,28,30
0.79,637,343,147,7,5,0.25,3,27,30
0.76,661.5,416.5,122.5,7,2,0.25,3,26,26
0.76,661.5,416.5,122.5,7,3,0.25,3,26,27
0.76,661.5,416.5,122.5,7,4,0.25,3,27,26
0.76,661.5,416.5,122.5,7,5,0.25,3,27,27
0.74,686,245,220.5,3.5,2,0.25,3,4,3
0.74,686,245,220.5,3.5,3,0.25,3,4,3
0.74,686,245,220.5,3.5,4,0.25,3,5,3
0.74,686,245,220.5,3.5,5,0.25,3,5,3
0.71,710.5,269.5,220.5,3.5,2,0.25,3,5,3
0.71,710.5,269.5,220.5,3.5,3,0.25,3,5,3
0.71,710.5,269.5,220.5,3.5,4,0.25,3,6,3
0.71,710.5,269.5,220.5,3.5,5,0.25,3,5,3
0.69,735,294,220.5,3.5,2,0.25,3,5,3
0.69,735,294,220.5,3.5,3,0.25,3,4,3
0.69,735,294,220.5,3.5,4,0.25,3,5,3
0.69,735,294,220.5,3.5,5,0.25,3,5,3
0.66,759.5,318.5,220.5,3.5,2,0.25,3,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,3,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,3,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,3,6,4
0.64,784,343,220.5,3.5,2,0.25,3,10,8
0.64,784,343,220.5,3.5,3,0.25,3,10,8
0.64,784,343,220.5,3.5,4,0.25,3,10,8
0.64,784,343,220.5,3.5,5,0.25,3,10,8
0.62,808.5,367.5,220.5,3.5,2,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,4,0.25,3,5,5
0.62,808.5,367.5,220.5,3.5,5,0.25,3,4,5
0.98,514.5,294,110.25,7,2,0.25,4,20,19
0.98,514.5,294,110.25,7,3,0.25,4,20,19
0.98,514.5,294,110.25,7,4,0.25,4,20,18
0.98,514.5,294,110.25,7,5,0.25,4,20,19
0.9,563.5,318.5,122.5,7,2,0.25,4,22,23
0.9,563.5,318.5,122.5,7,3,0.25,4,27,22
0.9,563.5,318.5,122.5,7,4,0.25,4,26,22
0.9,563.5,318.5,122.5,7,5,0.25,4,23,23
0.86,588,294,147,7,2,0.25,4,19,19
0.86,588,294,147,7,3,0.25,4,24,18
0.86,588,294,147,7,4,0.25,4,24,19
0.86,588,294,147,7,5,0.25,4,18,20
0.82,612.5,318.5,147,7,2,0.25,4,16,16
0.82,612.5,318.5,147,7,3,0.25,4,19,15
0.82,612.5,318.5,147,7,4,0.25,4,19,15
0.82,612.5,318.5,147,7,5,0.25,4,17,16
0.79,637,343,147,7,2,0.25,4,26,30
0.79,637,343,147,7,3,0.25,4,35,29
0.79,637,343,147,7,4,0.25,4,34,28
0.79,637,343,147,7,5,0.25,4,27,30
0.76,661.5,416.5,122.5,7,2,0.25,4,27,27
0.76,661.5,416.5,122.5,7,3,0.25,4,27,26
0.76,661.5,416.5,122.5,7,4,0.25,4,27,27
0.76,661.5,416.5,122.5,7,5,0.25,4,28,26
0.74,686,245,220.5,3.5,2,0.25,4,5,3
0.74,686,245,220.5,3.5,3,0.25,4,5,3
0.74,686,245,220.5,3.5,4,0.25,4,5,3
0.74,686,245,220.5,3.5,5,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,2,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,3,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,4,0.25,4,5,3
0.71,710.5,269.5,220.5,3.5,5,0.25,4,6,3
0.69,735,294,220.5,3.5,2,0.25,4,5,4
0.69,735,294,220.5,3.5,3,0.25,4,6,4
0.69,735,294,220.5,3.5,4,0.25,4,6,4
0.69,735,294,220.5,3.5,5,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,2,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,4,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,4,6,4
0.64,784,343,220.5,3.5,2,0.25,4,10,8
0.64,784,343,220.5,3.5,3,0.25,4,10,8
0.64,784,343,220.5,3.5,4,0.25,4,10,8
0.64,784,343,220.5,3.5,5,0.25,4,10,8
0.62,808.5,367.5,220.5,3.5,2,0.25,4,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,4,6,6
0.62,808.5,367.5,220.5,3.5,4,0.25,4,5,6
0.62,808.5,367.5,220.5,3.5,5,0.25,4,5,6
0.98,514.5,294,110.25,7,2,0.25,5,20,19
0.98,514.5,294,110.25,7,3,0.25,5,20,19
0.98,514.5,294,110.25,7,4,0.25,5,20,18
0.98,514.5,294,110.25,7,5,0.25,5,20,19
0.9,563.5,318.5,122.5,7,2,0.25,5,22,23
0.9,563.5,318.5,122.5,7,3,0.25,5,22,22
0.9,563.5,318.5,122.5,7,4,0.25,5,27,22
0.9,563.5,318.5,122.5,7,5,0.25,5,26,22
0.86,588,294,147,7,2,0.25,5,18,20
0.86,588,294,147,7,3,0.25,5,19,19
0.86,588,294,147,7,4,0.25,5,24,18
0.86,588,294,147,7,5,0.25,5,23,19
0.82,612.5,318.5,147,7,2,0.25,5,17,16
0.82,612.5,318.5,147,7,3,0.25,5,16,15
0.82,612.5,318.5,147,7,4,0.25,5,19,15
0.82,612.5,318.5,147,7,5,0.25,5,18,15
0.79,637,343,147,7,2,0.25,5,28,30
0.79,637,343,147,7,3,0.25,5,27,30
0.79,637,343,147,7,4,0.25,5,35,29
0.79,637,343,147,7,5,0.25,5,34,29
0.76,661.5,416.5,122.5,7,2,0.25,5,27,26
0.76,661.5,416.5,122.5,7,3,0.25,5,27,27
0.76,661.5,416.5,122.5,7,4,0.25,5,26,26
0.76,661.5,416.5,122.5,7,5,0.25,5,26,27
0.74,686,245,220.5,3.5,2,0.25,5,4,3
0.74,686,245,220.5,3.5,3,0.25,5,5,3
0.74,686,245,220.5,3.5,4,0.25,5,5,3
0.74,686,245,220.5,3.5,5,0.25,5,4,3
0.71,710.5,269.5,220.5,3.5,2,0.25,5,5,3
0.71,710.5,269.5,220.5,3.5,3,0.25,5,5,3
0.71,710.5,269.5,220.5,3.5,4,0.25,5,5,3
0.71,710.5,269.5,220.5,3.5,5,0.25,5,5,3
0.69,735,294,220.5,3.5,2,0.25,5,5,3
0.69,735,294,220.5,3.5,3,0.25,5,5,3
0.69,735,294,220.5,3.5,4,0.25,5,5,3
0.69,735,294,220.5,3.5,5,0.25,5,5,3
0.66,759.5,318.5,220.5,3.5,2,0.25,5,6,4
0.66,759.5,318.5,220.5,3.5,3,0.25,5,6,4
0.66,759.5,318.5,220.5,3.5,4,0.25,5,6,4
0.66,759.5,318.5,220.5,3.5,5,0.25,5,6,4
0.64,784,343,220.5,3.5,2,0.25,5,10,8
0.64,784,343,220.5,3.5,3,0.25,5,10,8
0.64,784,343,220.5,3.5,4,0.25,5,10,8
0.64,784,343,220.5,3.5,5,0.25,5,10,8
0.62,808.5,367.5,220.5,3.5,2,0.25,5,5,5
0.62,808.5,367.5,220.5,3.5,3,0.25,5,5,5
0.62,808.5,367.5,220.5,3.5,4,0.25,5,5,5
0.62,808.5,367.5,220.5,3.5,5,0.25,5,5,5
0.98,514.5,294,110.25,7,2,0.4,1,23,22
0.98,514.5,294,110.25,7,3,0.4,1,23,22
0.98,514.5,294,110.25,7,4,0.4,1,23,22
0.98,514.5,294,110.25,7,5,0.4,1,23,23
0.9,563.5,318.5,122.5,7,2,0.4,1,29,26
0.9,563.5,318.5,122.5,7,3,0.4,1,26,27
0.9,563.5,318.5,122.5,7,4,0.4,1,26,27
0.9,563.5,318.5,122.5,7,5,0.4,1,31,26
0.86,588,294,147,7,2,0.4,1,26,22
0.86,588,294,147,7,3,0.4,1,21,22
0.86,588,294,147,7,4,0.4,1,22,22
0.86,588,294,147,7,5,0.4,1,27,21
0.82,612.5,318.5,147,7,2,0.4,1,22,19
0.82,612.5,318.5,147,7,3,0.4,1,19,20
0.82,612.5,318.5,147,7,4,0.4,1,19,20
0.82,612.5,318.5,147,7,5,0.4,1,24,19
0.79,637,343,147,7,2,0.4,1,35,31
0.79,637,343,147,7,3,0.4,1,29,33
0.79,637,343,147,7,4,0.4,1,28,32
0.79,637,343,147,7,5,0.4,1,37,32
0.76,661.5,416.5,122.5,7,2,0.4,1,30,31
0.76,661.5,416.5,122.5,7,3,0.4,1,31,30
0.76,661.5,416.5,122.5,7,4,0.4,1,31,31
0.76,661.5,416.5,122.5,7,5,0.4,1,29,30
0.74,686,245,220.5,3.5,2,0.4,1,7,6
0.74,686,245,220.5,3.5,3,0.4,1,7,6
0.74,686,245,220.5,3.5,4,0.4,1,7,5
0.74,686,245,220.5,3.5,5,0.4,1,7,6
0.71,710.5,269.5,220.5,3.5,2,0.4,1,7,6
0.71,710.5,269.5,220.5,3.5,3,0.4,1,8,6
0.71,710.5,269.5,220.5,3.5,4,0.4,1,7,5
0.71,710.5,269.5,220.5,3.5,5,0.4,1,7,6
0.69,735,294,220.5,3.5,2,0.4,1,6,6
0.69,735,294,220.5,3.5,3,0.4,1,7,6
0.69,735,294,220.5,3.5,4,0.4,1,7,5
0.69,735,294,220.5,3.5,5,0.4,1,7,5
0.66,759.5,318.5,220.5,3.5,2,0.4,1,8,6
0.66,759.5,318.5,220.5,3.5,3,0.4,1,8,6
0.66,759.5,318.5,220.5,3.5,4,0.4,1,8,6
0.66,759.5,318.5,220.5,3.5,5,0.4,1,8,6
0.64,784,343,220.5,3.5,2,0.4,1,13,11
0.64,784,343,220.5,3.5,3,0.4,1,13,10
0.64,784,343,220.5,3.5,4,0.4,1,13,10
0.64,784,343,220.5,3.5,5,0.4,1,13,10
0.62,808.5,367.5,220.5,3.5,2,0.4,1,7,6
0.62,808.5,367.5,220.5,3.5,3,0.4,1,7,8
0.62,808.5,367.5,220.5,3.5,4,0.4,1,7,8
0.62,808.5,367.5,220.5,3.5,5,0.4,1,7,8
0.98,514.5,294,110.25,7,2,0.4,2,23,23
0.98,514.5,294,110.25,7,3,0.4,2,23,23
0.98,514.5,294,110.25,7,4,0.4,2,24,22
0.98,514.5,294,110.25,7,5,0.4,2,24,23
0.9,563.5,318.5,122.5,7,2,0.4,2,28,26
0.9,563.5,318.5,122.5,7,3,0.4,2,25,27
0.9,563.5,318.5,122.5,7,4,0.4,2,25,26
0.9,563.5,318.5,122.5,7,5,0.4,2,31,26
0.86,588,294,147,7,2,0.4,2,25,22
0.86,588,294,147,7,3,0.4,2,21,23
0.86,588,294,147,7,4,0.4,2,22,22
0.86,588,294,147,7,5,0.4,2,27,22
0.82,612.5,318.5,147,7,2,0.4,2,20,19
0.82,612.5,318.5,147,7,3,0.4,2,18,19
0.82,612.5,318.5,147,7,4,0.4,2,19,19
0.82,612.5,318.5,147,7,5,0.4,2,23,18
0.79,637,343,147,7,2,0.4,2,36,32
0.79,637,343,147,7,3,0.4,2,29,33
0.79,637,343,147,7,4,0.4,2,29,33
0.79,637,343,147,7,5,0.4,2,38,32
0.76,661.5,416.5,122.5,7,2,0.4,2,29,31
0.76,661.5,416.5,122.5,7,3,0.4,2,30,30
0.76,661.5,416.5,122.5,7,4,0.4,2,30,31
0.76,661.5,416.5,122.5,7,5,0.4,2,30,30
0.74,686,245,220.5,3.5,2,0.4,2,6,6
0.74,686,245,220.5,3.5,3,0.4,2,7,5
0.74,686,245,220.5,3.5,4,0.4,2,7,5
0.74,686,245,220.5,3.5,5,0.4,2,7,5
0.71,710.5,269.5,220.5,3.5,2,0.4,2,7,6
0.71,710.5,269.5,220.5,3.5,3,0.4,2,7,6
0.71,710.5,269.5,220.5,3.5,4,0.4,2,7,5
0.71,710.5,269.5,220.5,3.5,5,0.4,2,8,6
0.69,735,294,220.5,3.5,2,0.4,2,6,6
0.69,735,294,220.5,3.5,3,0.4,2,7,6
0.69,735,294,220.5,3.5,4,0.4,2,7,5
0.69,735,294,220.5,3.5,5,0.4,2,7,6
0.66,759.5,318.5,220.5,3.5,2,0.4,2,8,6
0.66,759.5,318.5,220.5,3.5,3,0.4,2,8,6
0.66,759.5,318.5,220.5,3.5,4,0.4,2,8,6
0.66,759.5,318.5,220.5,3.5,5,0.4,2,8,6
0.64,784,343,220.5,3.5,2,0.4,2,12,10
0.64,784,343,220.5,3.5,3,0.4,2,12,10
0.64,784,343,220.5,3.5,4,0.4,2,12,10
0.64,784,343,220.5,3.5,5,0.4,2,12,10
0.62,808.5,367.5,220.5,3.5,2,0.4,2,7,8
0.62,808.5,367.5,220.5,3.5,3,0.4,2,7,8
0.62,808.5,367.5,220.5,3.5,4,0.4,2,7,8
0.62,808.5,367.5,220.5,3.5,5,0.4,2,7,8
0.98,514.5,294,110.25,7,2,0.4,3,23,23
0.98,514.5,294,110.25,7,3,0.4,3,23,23
0.98,514.5,294,110.25,7,4,0.4,3,24,22
0.98,514.5,294,110.25,7,5,0.4,3,24,23
0.9,563.5,318.5,122.5,7,2,0.4,3,27,24
0.9,563.5,318.5,122.5,7,3,0.4,3,25,25
0.9,563.5,318.5,122.5,7,4,0.4,3,24,25
0.9,563.5,318.5,122.5,7,5,0.4,3,23,24
0.86,588,294,147,7,2,0.4,3,25,21
0.86,588,294,147,7,3,0.4,3,25,22
0.86,588,294,147,7,4,0.4,3,20,22
0.86,588,294,147,7,5,0.4,3,22,22
0.82,612.5,318.5,147,7,2,0.4,3,22,19
0.82,612.5,318.5,147,7,3,0.4,3,21,20
0.82,612.5,318.5,147,7,4,0.4,3,20,19
0.82,612.5,318.5,147,7,5,0.4,3,20,19
0.79,637,343,147,7,2,0.4,3,36,31
0.79,637,343,147,7,3,0.4,3,34,31
0.79,637,343,147,7,4,0.4,3,29,32
0.79,637,343,147,7,5,0.4,3,28,32
0.76,661.5,416.5,122.5,7,2,0.4,3,28,29
0.76,661.5,416.5,122.5,7,3,0.4,3,28,30
0.76,661.5,416.5,122.5,7,4,0.4,3,30,29
0.76,661.5,416.5,122.5,7,5,0.4,3,30,30
0.74,686,245,220.5,3.5,2,0.4,3,6,5
0.74,686,245,220.5,3.5,3,0.4,3,5,5
0.74,686,245,220.5,3.5,4,0.4,3,7,5
0.74,686,245,220.5,3.5,5,0.4,3,7,5
0.71,710.5,269.5,220.5,3.5,2,0.4,3,6,5
0.71,710.5,269.5,220.5,3.5,3,0.4,3,5,5
0.71,710.5,269.5,220.5,3.5,4,0.4,3,7,5
0.71,710.5,269.5,220.5,3.5,5,0.4,3,6,5
0.69,735,294,220.5,3.5,2,0.4,3,6,5
0.69,735,294,220.5,3.5,3,0.4,3,6,6
0.69,735,294,220.5,3.5,4,0.4,3,7,5
0.69,735,294,220.5,3.5,5,0.4,3,7,5
0.66,759.5,318.5,220.5,3.5,2,0.4,3,7,6
0.66,759.5,318.5,220.5,3.5,3,0.4,3,8,6
0.66,759.5,318.5,220.5,3.5,4,0.4,3,8,6
0.66,759.5,318.5,220.5,3.5,5,0.4,3,8,6
0.64,784,343,220.5,3.5,2,0.4,3,11,9
0.64,784,343,220.5,3.5,3,0.4,3,11,10
0.64,784,343,220.5,3.5,4,0.4,3,12,9
0.64,784,343,220.5,3.5,5,0.4,3,12,9
0.62,808.5,367.5,220.5,3.5,2,0.4,3,7,7
0.62,808.5,367.5,220.5,3.5,3,0.4,3,7,7
0.62,808.5,367.5,220.5,3.5,4,0.4,3,7,8
0.62,808.5,367.5,220.5,3.5,5,0.4,3,6,8
0.98,514.5,294,110.25,7,2,0.4,4,23,23
0.98,514.5,294,110.25,7,3,0.4,4,23,23
0.98,514.5,294,110.25,7,4,0.4,4,24,22
0.98,514.5,294,110.25,7,5,0.4,4,24,23
0.9,563.5,318.5,122.5,7,2,0.4,4,24,26
0.9,563.5,318.5,122.5,7,3,0.4,4,30,26
0.9,563.5,318.5,122.5,7,4,0.4,4,29,25
0.9,563.5,318.5,122.5,7,5,0.4,4,26,27
0.86,588,294,147,7,2,0.4,4,22,22
0.86,588,294,147,7,3,0.4,4,26,22
0.86,588,294,147,7,4,0.4,4,26,22
0.86,588,294,147,7,5,0.4,4,21,23
0.82,612.5,318.5,147,7,2,0.4,4,18,19
0.82,612.5,318.5,147,7,3,0.4,4,22,18
0.82,612.5,318.5,147,7,4,0.4,4,21,19
0.82,612.5,318.5,147,7,5,0.4,4,18,20
0.79,637,343,147,7,2,0.4,4,28,33
0.79,637,343,147,7,3,0.4,4,38,32
0.79,637,343,147,7,4,0.4,4,36,31
0.79,637,343,147,7,5,0.4,4,30,33
0.76,661.5,416.5,122.5,7,2,0.4,4,30,31
0.76,661.5,416.5,122.5,7,3,0.4,4,30,30
0.76,661.5,416.5,122.5,7,4,0.4,4,30,31
0.76,661.5,416.5,122.5,7,5,0.4,4,31,30
0.74,686,245,220.5,3.5,2,0.4,4,7,5
0.74,686,245,220.5,3.5,3,0.4,4,7,5
0.74,686,245,220.5,3.5,4,0.4,4,7,5
0.74,686,245,220.5,3.5,5,0.4,4,7,5
0.71,710.5,269.5,220.5,3.5,2,0.4,4,7,6
0.71,710.5,269.5,220.5,3.5,3,0.4,4,7,6
0.71,710.5,269.5,220.5,3.5,4,0.4,4,7,5
0.71,710.5,269.5,220.5,3.5,5,0.4,4,8,6
0.69,735,294,220.5,3.5,2,0.4,4,7,6
0.69,735,294,220.5,3.5,3,0.4,4,7,6
0.69,735,294,220.5,3.5,4,0.4,4,7,6
0.69,735,294,220.5,3.5,5,0.4,4,7,6
0.66,759.5,318.5,220.5,3.5,2,0.4,4,8,6
0.66,759.5,318.5,220.5,3.5,3,0.4,4,8,6
0.66,759.5,318.5,220.5,3.5,4,0.4,4,8,6
0.66,759.5,318.5,220.5,3.5,5,0.4,4,8,6
0.64,784,343,220.5,3.5,2,0.4,4,12,10
0.64,784,343,220.5,3.5,3,0.4,4,12,10
0.64,784,343,220.5,3.5,4,0.4,4,12,10
0.64,784,343,220.5,3.5,5,0.4,4,12,10
0.62,808.5,367.5,220.5,3.5,2,0.4,4,7,7
0.62,808.5,367.5,220.5,3.5,3,0.4,4,7,8
0.62,808.5,367.5,220.5,3.5,4,0.4,4,7,8
0.62,808.5,367.5,220.5,3.5,5,0.4,4,7,8
0.98,514.5,294,110.25,7,2,0.4,5,23,23
0.98,514.5,294,110.25,7,3,0.4,5,23,23
0.98,514.5,294,110.25,7,4,0.4,5,24,22
0.98,514.5,294,110.25,7,5,0.4,5,24,23
0.9,563.5,318.5,122.5,7,2,0.4,5,24,26
0.9,563.5,318.5,122.5,7,3,0.4,5,23,25
0.9,563.5,318.5,122.5,7,4,0.4,5,29,25
0.9,563.5,318.5,122.5,7,5,0.4,5,27,25
0.86,588,294,147,7,2,0.4,5,20,22
0.86,588,294,147,7,3,0.4,5,21,22
0.86,588,294,147,7,4,0.4,5,26,21
0.86,588,294,147,7,5,0.4,5,26,22
0.82,612.5,318.5,147,7,2,0.4,5,20,20
0.82,612.5,318.5,147,7,3,0.4,5,20,20
0.82,612.5,318.5,147,7,4,0.4,5,24,19
0.82,612.5,318.5,147,7,5,0.4,5,23,20
0.79,637,343,147,7,2,0.4,5,29,32
0.79,637,343,147,7,3,0.4,5,28,32
0.79,637,343,147,7,4,0.4,5,37,31
0.79,637,343,147,7,5,0.4,5,35,31
0.76,661.5,416.5,122.5,7,2,0.4,5,29,29
0.76,661.5,416.5,122.5,7,3,0.4,5,30,30
0.76,661.5,416.5,122.5,7,4,0.4,5,28,29
0.76,661.5,416.5,122.5,7,5,0.4,5,28,30
0.74,686,245,220.5,3.5,2,0.4,5,7,5
0.74,686,245,220.5,3.5,3,0.4,5,7,5
0.74,686,245,220.5,3.5,4,0.4,5,7,5
0.74,686,245,220.5,3.5,5,0.4,5,7,5
0.71,710.5,269.5,220.5,3.5,2,0.4,5,6,3
0.71,710.5,269.5,220.5,3.5,3,0.4,5,5,4
0.71,710.5,269.5,220.5,3.5,4,0.4,5,5,4
0.71,710.5,269.5,220.5,3.5,5,0.4,5,5,3
0.69,735,294,220.5,3.5,2,0.4,5,7,5
0.69,735,294,220.5,3.5,3,0.4,5,6,5
0.69,735,294,220.5,3.5,4,0.4,5,7,5
0.69,735,294,220.5,3.5,5,0.4,5,7,5
0.66,759.5,318.5,220.5,3.5,2,0.4,5,8,6
0.66,759.5,318.5,220.5,3.5,3,0.4,5,8,6
0.66,759.5,318.5,220.5,3.5,4,0.4,5,8,6
0.66,759.5,318.5,220.5,3.5,5,0.4,5,8,6
0.64,784,343,220.5,3.5,2,0.4,5,11,9
0.64,784,343,220.5,3.5,3,0.4,5,10,9
0.64,784,343,220.5,3.5,4,0.4,5,11,9
0.64,784,343,220.5,3.5,5,0.4,5,11,9
0.62,808.5,367.5,220.5,3.5,2,0.4,5,7,8
0.62,808.5,367.5,220.5,3.5,3,0.4,5,7,7
0.62,808.5,367.5,220.5,3.5,4,0.4,5,7,7
0.62,808.5,367.5,220.5,3.5,5,0.4,5,6,8
