WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC,Bug-count
4.0,0,2,1,4.0,0,4,7.0,False
5.0,1,4,9,17.0,80,5,133.0,True
3.0,6,0,26,630.0,46,1,465.0,True
2.0,1,0,14,14.0,50,1,82.0,True
4.0,1,0,15,16.0,25,4,61.0,True
4.0,1,0,3,16.0,0,4,17.0,False
5.0,2,0,17,75.0,51,3,92.0,True
1.0,1,0,8,13.0,0,1,30.0,True
4.0,2,0,4,24.0,33,0,25.0,False
3.0,0,6,0,3.0,100,0,6.0,False
6.0,1,0,5,18.0,62,5,45.0,False
3.0,2,0,5,23.0,33,0,28.0,False
5.0,2,0,5,25.0,72,0,91.0,False
5.0,3,0,5,36.0,70,5,54.0,False
4.0,1,0,1,16.0,0,3,18.0,False
4.0,3,0,5,41.0,91,3,37.0,False
5.0,1,0,5,17.0,60,3,91.0,False
3.0,2,0,5,23.0,16,0,43.0,False
8.0,1,0,5,20.0,96,8,177.0,False
4.0,1,0,0,16.0,0,3,18.0,False
3.0,3,0,3,69.0,0,3,15.0,False
5.0,3,0,5,38.0,70,5,54.0,False
3.0,2,0,4,23.0,0,0,37.0,False
3.0,2,0,5,23.0,33,0,38.0,False
5.0,2,0,7,25.0,9,0,72.0,False
3.0,2,0,3,23.0,0,0,11.0,False
5.0,2,0,5,25.0,30,0,38.0,False
5.0,1,0,5,17.0,62,3,83.0,False
4.0,1,0,1,16.0,16,3,20.0,False
3.0,2,0,3,23.0,33,0,25.0,False
4.0,2,0,3,24.0,50,0,25.0,False
14.0,1,0,6,26.0,65,10,104.0,False
7.0,2,0,5,27.0,46,0,123.0,False
8.0,1,13,3,20.0,75,0,35.0,False
46.0,2,1,34,66.0,95,26,666.0,False
2.0,2,0,12,33.0,0,1,75.0,False
6.0,0,1,3,6.0,0,6,8.0,False
2.0,2,0,13,33.0,0,1,32.0,False
12.0,1,0,4,24.0,48,0,80.0,False
2.0,2,0,7,33.0,100,1,24.0,False
3.0,2,0,9,34.0,58,2,49.0,False
2.0,2,0,6,33.0,66,1,16.0,False
4.0,2,0,10,35.0,0,2,67.0,False
4.0,2,0,9,26.0,75,2,70.0,False
2.0,2,0,5,33.0,0,1,12.0,False
4.0,3,0,6,37.0,75,4,41.0,False
7.0,1,1,0,7.0,0,7,10.0,False
6.0,2,0,8,37.0,55,5,46.0,False
0.0,0,1,1,0.0,0,0,77.0,False
4.0,1,0,5,16.0,0,4,57.0,False
2.0,2,0,6,33.0,0,2,53.0,False
2.0,2,0,4,33.0,0,1,15.0,False
2.0,2,0,6,33.0,50,1,47.0,False
43.0,1,0,16,55.0,87,28,536.0,True
2.0,2,0,3,33.0,0,1,12.0,False
10.0,1,2,11,22.0,66,7,73.0,False
86.0,2,0,37,108.0,0,84,146.0,False
8.0,2,0,20,39.0,0,1,113.0,False
49.0,1,0,6,61.0,89,6,2001.0,False
10.0,1,0,5,22.0,19,10,50.0,False
2.0,2,0,5,33.0,50,1,15.0,False
4.0,2,0,9,35.0,58,3,63.0,False
3.0,2,0,6,34.0,0,2,35.0,False
0.0,0,12,1,0.0,0,0,246.0,False
2.0,2,0,6,33.0,50,1,22.0,False
407.0,1,0,63,419.0,87,83,6191.0,False
4.0,1,0,14,16.0,41,3,100.0,False
18.0,1,0,23,30.0,77,9,423.0,False
7.0,2,0,4,71.0,0,5,29.0,False
2.0,2,0,1,33.0,50,1,6.0,False
7.0,2,0,9,38.0,71,6,33.0,False
2.0,2,0,5,33.0,0,1,19.0,False
52.0,1,1,32,64.0,93,38,617.0,True
53.0,1,0,39,65.0,93,45,536.0,True
36.0,1,0,46,48.0,0,14,602.0,True
19.0,1,35,11,31.0,87,19,97.0,False
3.0,2,0,13,34.0,66,1,46.0,False
11.0,4,0,8,63.0,68,11,73.0,False
1.0,2,0,1,16.0,0,1,11.0,False
2.0,1,0,1,14.0,93,2,18.0,False
8.0,1,0,17,20.0,52,3,129.0,False
6.0,3,0,3,43.0,96,4,71.0,False
5.0,1,0,4,17.0,70,5,35.0,False
5.0,2,0,9,36.0,40,2,80.0,False
1.0,1,0,0,13.0,0,1,8.0,False
4.0,2,0,13,35.0,75,1,84.0,False
11.0,4,0,5,63.0,72,10,146.0,False
4.0,1,0,10,16.0,75,4,86.0,False
2.0,2,0,3,33.0,50,2,12.0,False
2.0,2,0,4,33.0,50,1,12.0,False
1.0,4,0,1,42.0,0,1,7.0,False
1.0,4,0,1,53.0,0,1,3.0,False
3.0,1,1,4,15.0,66,3,25.0,False
6.0,2,0,20,37.0,85,1,130.0,False
15.0,3,3,2,52.0,63,11,73.0,True
2.0,2,0,4,33.0,0,1,15.0,False
2.0,0,1,2,2.0,0,2,8.0,False
2.0,2,0,8,33.0,56,1,67.0,False
2.0,2,0,8,33.0,50,1,22.0,False
3.0,2,0,7,34.0,0,2,35.0,False
24.0,1,0,16,36.0,92,22,109.0,True
2.0,3,0,1,39.0,0,2,5.0,False
3.0,2,0,11,34.0,66,1,84.0,False
5.0,2,0,17,36.0,70,1,70.0,False
6.0,2,0,25,37.0,0,6,98.0,False
9.0,1,0,6,21.0,44,9,66.0,True
13.0,1,0,11,25.0,75,13,128.0,True
5.0,2,0,8,30.0,53,4,78.0,False
12.0,2,0,27,88.0,71,8,364.0,True
11.0,1,0,9,23.0,87,11,461.0,True
20.0,1,0,9,32.0,88,20,123.0,True
10.0,1,0,8,22.0,62,8,109.0,True
17.0,2,0,19,42.0,85,8,504.0,True
2.0,1,0,2,14.0,88,2,34.0,False
4.0,1,0,2,16.0,50,4,24.0,True
1.0,1,0,0,13.0,19,0,15.0,True
9.0,1,0,16,21.0,80,7,642.0,True
7.0,1,0,2,19.0,53,2,41.0,False
39.0,1,0,60,51.0,97,35,624.0,True
16.0,1,0,28,28.0,72,9,377.0,True
2.0,2,0,2,21.0,0,2,50.0,True
2.0,2,0,2,21.0,0,2,39.0,False
11.0,1,0,5,23.0,54,11,48.0,False
12.0,1,0,11,24.0,69,11,276.0,True
11.0,1,0,4,23.0,72,11,50.0,False
10.0,1,0,3,22.0,25,8,117.0,True
4.0,1,0,1,16.0,0,4,11.0,True
2.0,2,0,2,21.0,0,2,11.0,False
7.0,1,3,11,19.0,64,6,56.0,True
4.0,0,2,1,4.0,0,0,9.0,True
12.0,1,4,5,24.0,66,12,59.0,True
1.0,1,0,12,13.0,0,1,73.0,True
8.0,1,0,5,20.0,79,8,76.0,True
10.0,5,21,11,644.0,72,8,93.0,True
4.0,0,1,2,4.0,0,0,7.0,True
2.0,2,1,1,20.0,0,1,5.0,True
9.0,1,0,10,21.0,63,8,103.0,True
2.0,6,0,26,652.0,18,1,331.0,True
12.0,2,0,13,37.0,81,8,202.0,False
5.0,1,0,4,17.0,0,0,235.0,True
5.0,1,0,17,17.0,40,0,300.0,True
9.0,6,0,21,659.0,84,8,188.0,True
3.0,1,0,9,15.0,33,3,82.0,True
5.0,2,0,19,21.0,63,2,161.0,True
4.0,2,0,10,22.0,0,3,41.0,False
31.0,1,0,35,43.0,77,29,620.0,True
4.0,1,0,1,16.0,8,3,30.0,False
2.0,0,2,3,2.0,0,0,6.0,True
5.0,1,0,4,17.0,60,5,43.0,True
6.0,2,0,2,24.0,33,5,34.0,False
5.0,0,2,2,5.0,0,0,8.0,True
5.0,1,0,3,17.0,0,5,26.0,False
6.0,1,2,3,18.0,33,5,62.0,True
10.0,5,0,23,644.0,76,8,242.0,True
15.0,7,0,49,668.0,79,8,629.0,True
7.0,1,0,6,19.0,68,4,151.0,True
7.0,5,0,29,641.0,64,4,255.0,True
5.0,2,0,9,44.0,66,5,59.0,True
5.0,2,0,11,44.0,0,5,50.0,False
11.0,2,0,35,27.0,76,3,583.0,True
19.0,1,0,27,31.0,87,18,204.0,True
20.0,2,0,26,59.0,90,20,322.0,True
27.0,1,4,22,39.0,92,26,285.0,True
10.0,2,0,6,49.0,57,10,101.0,True
20.0,1,0,36,32.0,84,16,374.0,True
11.0,2,0,9,36.0,77,7,110.0,False
135.0,1,0,71,147.0,96,116,2115.0,True
6.0,1,3,3,18.0,58,6,40.0,True
6.0,1,4,5,18.0,83,6,75.0,True
12.0,1,0,10,24.0,58,11,218.0,True
4.0,1,0,27,16.0,59,1,184.0,True
7.0,2,0,8,31.0,69,7,83.0,True
17.0,5,0,27,651.0,72,12,379.0,True
40.0,5,0,61,674.0,93,27,1033.0,True
8.0,7,0,33,661.0,76,7,267.0,True
14.0,5,0,37,648.0,76,11,578.0,True
4.0,5,0,14,698.0,68,2,196.0,True
7.0,2,0,11,23.0,49,3,223.0,True
5.0,6,0,16,710.0,68,3,94.0,False
2.0,1,1,2,2.0,0,0,5.0,False
4.0,2,0,9,74.0,41,4,90.0,True
1.0,2,0,4,25.0,0,1,10.0,False
13.0,1,0,5,25.0,50,12,68.0,True
9.0,1,0,25,21.0,70,5,252.0,True
4.0,1,0,4,16.0,50,3,38.0,True
54.0,6,0,55,681.0,95,42,755.0,True
23.0,1,0,30,35.0,88,21,516.0,True
5.0,1,0,7,17.0,0,0,88.0,True
11.0,1,2,5,23.0,72,8,124.0,True
213.0,4,0,71,836.0,95,193,4204.0,True
37.0,4,0,32,660.0,93,37,553.0,True
2.0,1,1,1,2.0,0,0,5.0,False
18.0,1,0,26,30.0,70,5,647.0,True
50.0,4,0,36,673.0,94,47,611.0,True
3.0,1,5,2,15.0,0,3,11.0,True
4.0,3,0,3,24.0,75,4,25.0,False
5.0,3,0,4,25.0,90,5,41.0,True
1.0,3,0,1,21.0,0,1,7.0,False
3.0,2,0,2,21.0,0,3,19.0,False
1.0,3,0,1,21.0,0,1,7.0,False
1.0,3,0,1,21.0,0,1,7.0,False
1.0,3,0,1,21.0,0,1,7.0,False
2.0,3,0,1,22.0,0,2,11.0,False
4.0,3,0,3,24.0,81,4,26.0,False
3.0,6,0,5,647.0,33,3,107.0,True
7.0,6,0,24,651.0,71,1,270.0,True
3.0,6,0,7,647.0,33,3,53.0,False
3.0,6,0,5,647.0,33,3,99.0,False
3.0,6,0,6,647.0,33,1,48.0,True
3.0,6,0,9,647.0,33,3,92.0,True
3.0,6,0,10,647.0,33,1,124.0,True
5.0,6,0,28,649.0,60,1,207.0,True
4.0,6,0,26,648.0,53,1,236.0,True
4.0,6,0,20,648.0,56,1,93.0,False
4.0,6,0,11,648.0,35,1,89.0,True
4.0,6,0,19,648.0,50,1,170.0,True
5.0,6,0,19,649.0,70,3,88.0,False
3.0,6,0,9,647.0,33,1,101.0,True
1.0,0,14,1,1.0,0,0,4.0,True
108.0,1,0,105,120.0,95,79,2128.0,True
36.0,1,0,27,48.0,0,33,689.0,True
2.0,1,0,8,14.0,0,1,39.0,True
10.0,3,0,18,43.0,35,10,279.0,True
3.0,7,0,25,656.0,66,3,120.0,False
8.0,5,0,28,593.0,77,3,321.0,True
8.0,6,0,5,635.0,75,8,51.0,True
3.0,1,0,6,15.0,33,2,165.0,True
11.0,7,0,55,664.0,80,8,408.0,True
12.0,6,0,26,662.0,86,8,370.0,True
5.0,7,0,28,658.0,56,4,113.0,False
3.0,7,0,29,656.0,37,3,284.0,True
9.0,1,0,17,21.0,66,8,134.0,True
4.0,4,0,13,627.0,33,3,52.0,True
5.0,7,0,21,658.0,75,4,164.0,True
11.0,5,0,27,645.0,84,11,416.0,True
1.0,7,6,6,843.0,0,1,39.0,True
3.0,6,0,16,653.0,46,3,79.0,True
1.0,6,0,16,651.0,0,1,86.0,False
3.0,6,0,14,630.0,44,2,128.0,True
20.0,5,0,25,654.0,84,20,739.0,True
1.0,5,0,15,635.0,0,1,54.0,True
8.0,5,0,9,834.0,0,7,82.0,True
22.0,6,0,21,783.0,81,15,356.0,True
4.0,6,0,13,780.0,58,3,110.0,False
6.0,0,2,1,6.0,0,0,9.0,True
2.0,5,0,5,704.0,25,2,49.0,False
5.0,1,0,9,17.0,40,3,100.0,False
18.0,2,1,14,33.0,74,16,213.0,True
9.0,6,0,53,636.0,77,6,496.0,False
3.0,7,0,19,656.0,0,3,52.0,True
4.0,7,0,27,657.0,70,3,96.0,False
3.0,7,0,22,656.0,66,3,101.0,True
5.0,7,0,14,796.0,66,4,134.0,False
12.0,1,0,26,24.0,75,8,636.0,True
5.0,3,0,15,326.0,68,5,72.0,True
17.0,1,0,8,29.0,82,16,184.0,True
3.0,6,17,5,653.0,66,3,97.0,False
2.0,6,0,6,744.0,50,2,42.0,True
3.0,7,0,13,656.0,66,3,134.0,True
8.0,5,0,12,642.0,50,8,165.0,False
2.0,6,0,4,744.0,0,1,47.0,True
6.0,2,0,24,76.0,66,3,159.0,True
4.0,2,0,1,34.0,0,3,30.0,False
10.0,1,0,14,22.0,78,6,215.0,True
13.0,2,0,9,83.0,75,11,143.0,True
8.0,1,0,5,20.0,66,5,106.0,True
4.0,1,3,3,16.0,0,4,27.0,True
2.0,1,3,1,2.0,0,0,5.0,False
17.0,1,0,16,29.0,83,9,290.0,True
6.0,1,0,1,18.0,41,6,35.0,False
13.0,1,7,3,25.0,0,13,56.0,False
117.0,1,0,16,129.0,96,27,2373.0,True
13.0,0,1,2,13.0,0,13,28.0,False
5.0,3,0,1,42.0,60,5,30.0,False
