MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,binaryClass
125.0,256.0,6000.0,256.0,16,128,N
29.0,8000.0,32000.0,32.0,8,32,N
29.0,8000.0,32000.0,32.0,8,32,N
29.0,8000.0,32000.0,32.0,8,32,N
29.0,8000.0,16000.0,32.0,8,16,N
26.0,8000.0,32000.0,64.0,8,32,N
23.0,16000.0,32000.0,64.0,16,32,N
23.0,16000.0,32000.0,64.0,16,32,N
23.0,16000.0,64000.0,64.0,16,32,N
23.0,32000.0,64000.0,128.0,32,64,N
400.0,1000.0,3000.0,0.0,1,2,P
400.0,512.0,3500.0,4.0,1,6,P
60.0,2000.0,8000.0,65.0,1,8,P
50.0,4000.0,16000.0,65.0,1,8,N
350.0,64.0,64.0,0.0,1,4,P
200.0,512.0,16000.0,0.0,4,32,P
167.0,524.0,2000.0,8.0,4,15,P
143.0,512.0,5000.0,0.0,7,32,P
143.0,1000.0,2000.0,0.0,5,16,P
110.0,5000.0,5000.0,142.0,8,64,N
143.0,1500.0,6300.0,0.0,5,32,P
143.0,3100.0,6200.0,0.0,5,20,P
143.0,2300.0,6200.0,0.0,6,64,P
110.0,3100.0,6200.0,0.0,6,64,P
320.0,128.0,6000.0,0.0,1,12,P
320.0,512.0,2000.0,4.0,1,3,P
320.0,256.0,6000.0,0.0,1,6,P
320.0,256.0,3000.0,4.0,1,3,P
320.0,512.0,5000.0,4.0,1,5,P
320.0,256.0,5000.0,4.0,1,6,P
25.0,1310.0,2620.0,131.0,12,24,N
25.0,1310.0,2620.0,131.0,12,24,N
50.0,2620.0,10480.0,30.0,12,24,P
50.0,2620.0,10480.0,30.0,12,24,P
56.0,5240.0,20970.0,30.0,12,24,N
64.0,5240.0,20970.0,30.0,12,24,N
50.0,500.0,2000.0,8.0,1,4,P
50.0,1000.0,4000.0,8.0,1,5,P
50.0,2000.0,8000.0,8.0,1,5,P
50.0,1000.0,4000.0,8.0,3,5,P
50.0,1000.0,8000.0,8.0,3,5,P
50.0,2000.0,16000.0,8.0,3,5,P
50.0,2000.0,16000.0,8.0,3,6,P
50.0,2000.0,16000.0,8.0,3,6,P
133.0,1000.0,12000.0,9.0,3,12,P
133.0,1000.0,8000.0,9.0,3,12,P
810.0,512.0,512.0,8.0,1,1,P
810.0,1000.0,5000.0,0.0,1,1,P
320.0,512.0,8000.0,4.0,1,5,P
200.0,512.0,8000.0,8.0,1,8,P
700.0,384.0,8000.0,0.0,1,1,P
700.0,256.0,2000.0,0.0,1,1,P
140.0,1000.0,16000.0,16.0,1,3,N
200.0,1000.0,8000.0,0.0,1,2,P
110.0,1000.0,4000.0,16.0,1,2,P
110.0,1000.0,12000.0,16.0,1,2,P
220.0,1000.0,8000.0,16.0,1,2,P
800.0,256.0,8000.0,0.0,1,4,P
800.0,256.0,8000.0,0.0,1,4,P
800.0,256.0,8000.0,0.0,1,4,P
800.0,256.0,8000.0,0.0,1,4,P
800.0,256.0,8000.0,0.0,1,4,P
125.0,512.0,1000.0,0.0,8,20,P
75.0,2000.0,8000.0,64.0,1,38,N
75.0,2000.0,16000.0,64.0,1,38,N
75.0,2000.0,16000.0,128.0,1,38,N
90.0,256.0,1000.0,0.0,3,10,P
105.0,256.0,2000.0,0.0,3,10,P
105.0,1000.0,4000.0,0.0,3,24,P
105.0,2000.0,4000.0,8.0,3,19,P
75.0,2000.0,8000.0,8.0,3,24,P
75.0,3000.0,8000.0,8.0,3,48,P
175.0,256.0,2000.0,0.0,3,24,P
300.0,768.0,3000.0,0.0,6,24,P
300.0,768.0,3000.0,6.0,6,24,P
300.0,768.0,12000.0,6.0,6,24,P
300.0,768.0,4500.0,0.0,1,24,P
300.0,384.0,12000.0,6.0,1,24,P
300.0,192.0,768.0,6.0,6,24,P
180.0,768.0,12000.0,6.0,1,31,P
330.0,1000.0,3000.0,0.0,2,4,P
300.0,1000.0,4000.0,8.0,3,64,P
300.0,1000.0,16000.0,8.0,2,112,P
330.0,1000.0,2000.0,0.0,1,2,P
330.0,1000.0,4000.0,0.0,3,6,P
140.0,2000.0,4000.0,0.0,3,6,P
140.0,2000.0,4000.0,0.0,4,8,P
140.0,2000.0,4000.0,8.0,1,20,P
140.0,2000.0,32000.0,32.0,1,20,N
140.0,2000.0,8000.0,32.0,1,54,P
140.0,2000.0,32000.0,32.0,1,54,N
140.0,2000.0,32000.0,32.0,1,54,N
140.0,2000.0,4000.0,8.0,1,20,P
57.0,4000.0,16000.0,1.0,6,12,N
57.0,4000.0,24000.0,64.0,12,16,N
26.0,16000.0,32000.0,64.0,16,24,N
26.0,16000.0,32000.0,64.0,8,24,N
26.0,8000.0,32000.0,0.0,8,24,N
26.0,8000.0,16000.0,0.0,8,16,N
480.0,96.0,512.0,0.0,1,1,P
203.0,1000.0,2000.0,0.0,1,5,P
115.0,512.0,6000.0,16.0,1,6,P
1100.0,512.0,1500.0,0.0,1,1,P
1100.0,768.0,2000.0,0.0,1,1,P
600.0,768.0,2000.0,0.0,1,1,P
400.0,2000.0,4000.0,0.0,1,1,P
400.0,4000.0,8000.0,0.0,1,1,P
900.0,1000.0,1000.0,0.0,1,2,P
900.0,512.0,1000.0,0.0,1,2,P
900.0,1000.0,4000.0,4.0,1,2,P
900.0,1000.0,4000.0,8.0,1,2,P
900.0,2000.0,4000.0,0.0,3,6,P
225.0,2000.0,4000.0,8.0,3,6,P
225.0,2000.0,4000.0,8.0,3,6,P
180.0,2000.0,8000.0,8.0,1,6,P
185.0,2000.0,16000.0,16.0,1,6,P
180.0,2000.0,16000.0,16.0,1,6,P
225.0,1000.0,4000.0,2.0,3,6,P
25.0,2000.0,12000.0,8.0,1,4,P
25.0,2000.0,12000.0,16.0,3,5,P
17.0,4000.0,16000.0,8.0,6,12,P
17.0,4000.0,16000.0,32.0,6,12,N
1500.0,768.0,1000.0,0.0,0,0,P
1500.0,768.0,2000.0,0.0,0,0,P
800.0,768.0,2000.0,0.0,0,0,P
50.0,2000.0,4000.0,0.0,3,6,P
50.0,2000.0,8000.0,8.0,3,6,P
50.0,2000.0,8000.0,8.0,1,6,P
50.0,2000.0,16000.0,24.0,1,6,P
50.0,2000.0,16000.0,24.0,1,6,P
50.0,8000.0,16000.0,48.0,1,10,N
100.0,1000.0,8000.0,0.0,2,6,P
100.0,1000.0,8000.0,24.0,2,6,P
100.0,1000.0,8000.0,24.0,3,6,P
50.0,2000.0,16000.0,12.0,3,16,P
50.0,2000.0,16000.0,24.0,6,16,P
50.0,2000.0,16000.0,24.0,6,16,P
150.0,512.0,4000.0,0.0,8,128,P
115.0,2000.0,8000.0,16.0,1,3,P
115.0,2000.0,4000.0,2.0,1,5,P
92.0,2000.0,8000.0,32.0,1,6,P
92.0,2000.0,8000.0,32.0,1,6,P
92.0,2000.0,8000.0,4.0,1,6,P
75.0,4000.0,16000.0,16.0,1,6,P
60.0,4000.0,16000.0,32.0,1,6,P
60.0,2000.0,16000.0,64.0,5,8,P
60.0,4000.0,16000.0,64.0,5,8,P
50.0,4000.0,16000.0,64.0,5,10,N
72.0,4000.0,16000.0,64.0,8,16,N
72.0,2000.0,8000.0,16.0,6,8,P
40.0,8000.0,16000.0,32.0,8,16,N
40.0,8000.0,32000.0,64.0,8,24,N
35.0,8000.0,32000.0,64.0,8,24,N
38.0,16000.0,32000.0,128.0,16,32,N
48.0,4000.0,24000.0,32.0,8,24,N
38.0,8000.0,32000.0,64.0,8,24,N
30.0,16000.0,32000.0,256.0,16,24,N
112.0,1000.0,1000.0,0.0,1,4,P
84.0,1000.0,2000.0,0.0,1,6,P
56.0,1000.0,4000.0,0.0,1,6,P
56.0,2000.0,6000.0,0.0,1,8,P
56.0,2000.0,8000.0,0.0,1,8,P
56.0,4000.0,8000.0,0.0,1,8,P
56.0,4000.0,12000.0,0.0,1,8,P
56.0,4000.0,16000.0,0.0,1,8,P
38.0,4000.0,8000.0,32.0,16,32,P
38.0,4000.0,8000.0,32.0,16,32,N
38.0,8000.0,16000.0,64.0,4,8,P
38.0,8000.0,24000.0,160.0,4,8,N
38.0,4000.0,16000.0,128.0,16,32,N
200.0,1000.0,2000.0,0.0,1,2,P
200.0,1000.0,4000.0,0.0,1,4,P
200.0,2000.0,8000.0,64.0,1,5,P
250.0,512.0,4000.0,0.0,1,7,P
250.0,512.0,4000.0,0.0,4,7,P
250.0,1000.0,16000.0,1.0,1,8,P
160.0,512.0,4000.0,2.0,1,5,P
160.0,512.0,2000.0,2.0,3,8,P
160.0,1000.0,4000.0,8.0,1,14,P
160.0,1000.0,8000.0,16.0,1,14,P
160.0,2000.0,8000.0,32.0,1,13,N
240.0,512.0,1000.0,8.0,1,3,P
240.0,512.0,2000.0,8.0,1,5,P
105.0,2000.0,4000.0,8.0,3,8,P
105.0,2000.0,6000.0,16.0,6,16,P
105.0,2000.0,8000.0,16.0,4,14,P
52.0,4000.0,16000.0,32.0,4,12,N
70.0,4000.0,12000.0,8.0,6,8,P
59.0,4000.0,12000.0,32.0,6,12,N
59.0,8000.0,16000.0,64.0,12,24,N
26.0,8000.0,24000.0,32.0,8,16,N
26.0,8000.0,32000.0,64.0,12,16,N
26.0,8000.0,32000.0,128.0,24,32,N
116.0,2000.0,8000.0,32.0,5,28,P
50.0,2000.0,32000.0,24.0,6,26,N
50.0,2000.0,32000.0,48.0,26,52,N
50.0,2000.0,32000.0,112.0,52,104,N
50.0,4000.0,32000.0,112.0,52,104,N
30.0,8000.0,64000.0,96.0,12,176,N
30.0,8000.0,64000.0,128.0,12,176,N
180.0,262.0,4000.0,0.0,1,3,P
180.0,512.0,4000.0,0.0,1,3,P
180.0,262.0,4000.0,0.0,1,3,P
180.0,512.0,4000.0,0.0,1,3,P
124.0,1000.0,8000.0,0.0,1,8,P
98.0,1000.0,8000.0,32.0,2,8,P
125.0,2000.0,8000.0,0.0,2,14,P
480.0,512.0,8000.0,32.0,0,0,P
480.0,1000.0,4000.0,0.0,0,0,P
